id,rest_id,day,hours,is_open
219,32,tu,11h-01h,1
220,32,we,11h-01h,1
221,32,th,11h-01h,1
222,32,fr,11h-01h,1
223,32,sa,11h-01h,1
224,32,su,11h-01h,1
225,33,mo,12h-22h,1
226,33,tu,X,0
227,33,we,12h-22h,1
228,33,th,12h-22h,1
229,33,fr,12h-23h,1
230,33,sa,12h-23h,1
231,33,su,12h-22h,1
232,34,mo,11h-01h,1
233,34,tu,11h-01h,1
234,34,we,11h-01h,1
235,34,th,11h-01h,1
236,34,fr,11h-03h,1
237,34,sa,11h-03h,1
238,34,su,11h-01h,1
239,35,mo,18h-22h,1
240,35,tu,18h-22h,1
241,35,we,18h-22h,1
242,35,th,18h-22h,1
243,35,fr,18h-22h,1
244,35,sa,18h-22h,1
245,35,su,18h-22h,1
246,36,mo,11.30h-22h,1
247,36,tu,11.30h-22h,1
248,36,we,11.30h-22h,1
249,36,th,11.30h-22h,1
250,36,fr,11.30h-14h,1
251,36,sa,X,0
252,36,su,12h-22h,1
253,37,mo,12h-21h,1
254,37,tu,12h-21h,1
255,37,we,12h-21h,1
256,37,th,12h-21h,1
257,37,fr,12h-22h,1
258,37,sa,12h-22h,1
259,37,su,17h30-21h,1
260,38,mo,11.30h-14.30h;17h-22.30h,1
261,38,tu,11.30h-14.30h;17h-22.30h,1
262,38,we,11.30h-14.30h;17h-22.30h,1
263,38,th,11.30h-14.30h;17h-22.30h,1
264,38,fr,11.30h-14.30h;17h-22.30h,1
265,38,sa,11h30-23h,1
266,38,su,17h-23h,1
267,39,mo,X,0
268,39,tu,12h-21h,1
269,39,we,12h-21h,1
270,39,th,12h-21h,1
271,39,fr,12h-22h,1
272,39,sa,12h-22h,1
273,39,su,X,0
274,40,mo,12h-14.30h;18h-22h,1
275,40,tu,12h-14.30h;18h-22h,1
276,40,we,12h-14.30h;18h-22h,1
277,40,th,12h-14.30h;18h-22h,1
278,40,fr,12h-14.30h;18h-22h,1
279,40,sa,18h-22h,1
280,40,su,X,0
281,41,mo,X,0
282,41,tu,X,0
283,41,we,18h-22h,1
284,41,th,18h-22h,1
285,41,fr,18h-22h,1
286,41,sa,18h-22.30h,1
287,41,su,10h-22h,1
288,42,mo,12h-22h,1
289,42,tu,12h-22h,1
290,42,we,12h-22h,1
291,42,th,12h-22h,1
292,42,fr,12h-23h,1
293,42,sa,12h-23h,1
294,42,su,12h-22h,1
295,43,mo,7.30h-22h,1
296,43,tu,7.30h-22h,1
297,43,we,7.30h-22h,1
298,43,th,7.30h-22h,1
299,43,fr,7.30h-22h,1
300,43,sa,7.30h-22h,1
301,43,su,7.30h-22h,1
302,44,mo,X,0
303,44,tu,11h-18h,1
304,44,we,11h-18h,1
305,44,th,11h-21h,1
306,44,fr,11h-21h,1
307,44,sa,11h-21h,1
308,44,su,X,0
309,45,mo,8h-19h,1
310,45,tu,8h-19h,1
311,45,we,8h-19h,1
312,45,th,8h-19h,1
313,45,fr,8h-19h,1
314,45,sa,8h-19h,1
315,45,su,8h-17h,1
316,46,mo,x,1
317,46,tu,12h-14h;18h-21.30h,1
318,46,we,12h-14h;18h-21.30h,1
319,46,th,12h-14h;18h-21.30h,1
320,46,fr,12h-14h;18h-21.30h,1
321,46,sa,17.30h-22h,1
322,46,su,x,1
323,47,mo,10.30h-18h,1
324,47,tu,10.30h-18h,1
325,47,we,10.30h-18h,1
326,47,th,10.30h-18h,1
327,47,fr,10.30h-18h,1
328,47,sa,10.30h-18h,1
329,47,su,10h-18h,1
330,48,mo,X,0
331,48,tu,7.30h-17h,1
332,48,we,7.30h-17h,1
333,48,th,7.30h-17h,1
334,48,fr,7.30h-19h,1
335,48,sa,9.30h-18h,1
336,48,su,9.30h-18h,1
337,49,mo,X,0
338,49,tu,9h-16h,1
339,49,we,9h-16h,1
340,49,th,9h-16h,1
341,49,fr,9h-16h,1
342,49,sa,9.30h-16h,1
343,49,su,10h-16h,1
344,50,mo,8H-17h,1
345,50,tu,X,0
346,50,we,8H-17h,1
347,50,th,8H-17h,1
348,50,fr,8H-17h,1
349,50,sa,10h-17h,1
350,50,su,10h-17h,1
351,51,mo,11h-18h,1
352,51,tu,11h-18h,1
353,51,we,11h-18h,1
354,51,th,11h-18h,1
355,51,fr,11h-18h,1
356,51,sa,11h-18h,1
357,51,su,11h-18h,1
358,52,mo,9h-17.30h,1
359,52,tu,9h-17.30h,1
360,52,we,X,0
361,52,th,9h-17.30h,1
362,52,fr,9h-17.30h,1
363,52,sa,X,0
364,52,su,9.30h-17.30h,1
365,53,mo,8:30h-17h,1
366,53,tu,8:30h-17h,1
367,53,we,8:30h-17h,1
368,53,th,8:30h-17h,1
369,53,fr,8:30h-17h,1
370,53,sa,9:30h-17h,1
371,53,su,X,0
372,54,mo,X,0
373,54,tu,8h-16h,1
374,54,we,8h-16h,1
375,54,th,8h-16h,1
376,54,fr,8h-16h,1
377,54,sa,8h-17h,1
378,54,su,X,0
379,55,mo,8h-18h,1
380,55,tu,8h-18h,1
381,55,we,X,0
382,55,th,8h-18h,1
383,55,fr,8h-18h,1
384,55,sa,8h-18h,1
385,55,su,9h-17h,1
386,56,mo,X,0
387,56,tu,12h-15h;17h-21h,1
388,56,we,12h-15h;17h-21h,1
389,56,th,12h-15h;17h-21h,1
390,56,fr,12h-15h;18h-22h,1
391,56,sa,12h-15h;18h-22h,1
392,56,su,X,0
393,57,mo,9h-19h,1
394,57,tu,9h-19h,1
395,57,we,9h-19h,1
396,57,th,9h-19h,1
397,57,fr,9h-19h,1
398,57,sa,9h-19h,1
399,57,su,X,0
400,58,mo,9h-18h,1
401,58,tu,9h-18h,1
402,58,we,9h-18h,1
403,58,th,9h-18h,1
404,58,fr,9h-18h,1
405,58,sa,9h-18h,1
406,58,su,9h-18h,1
407,59,mo,X,0
408,59,tu,X,0
409,59,we,10h-18h,1
410,59,th,10h-18h,1
411,59,fr,10h-18h,1
412,59,sa,10h-18h,1
413,59,su,10h-18h,1
414,60,mo,X,0
415,60,tu,X,0
416,60,we,X,0
417,60,th,X,0
418,60,fr,18h-21h,1
419,60,sa,18h-21h,1
420,60,su,X,0
421,61,mo,12h-14.30h;17h-22h,1
422,61,tu,12h-14.30h;17h-22h,1
423,61,we,12h-14.30h;17h-22h,1
424,61,th,12h-14.30h;17h-22h,1
425,61,fr,12h-22h,1
426,61,sa,12h-22h,1
427,61,su,12h-21h,1
428,62,mo,8h-17.30h,1
429,62,tu,8h-17.30h,1
430,62,we,8h-17.30h,1
431,62,th,8h-17.30h,1
432,62,fr,8h-17.30h,1
433,62,sa,X,0
434,62,su,X,0
435,63,mo,X,0
436,63,tu,9h-16h,1
437,63,we,9h-16h,1
438,63,th,9h-16h,1
439,63,fr,9h-16h,1
440,63,sa,9h-16h,1
441,63,su,X,0
442,64,mo,10h-22h,1
443,64,tu,10h-22h,1
444,64,we,10h-22h,1
445,64,th,10h-22h,1
446,64,fr,10h-22h,1
447,64,sa,13.30h-22h,1
448,64,su,13.30h-22h,1
449,65,mo,X,0
450,65,tu,X,0
451,65,we,11.30h-15h;17.30h-23h,1
452,65,th,11.30h-15h;17.30h-23h,1
453,65,fr,11.30h-15h;17.30h-23h,1
454,65,sa,11.30h-15h;17.30h-23h,1
455,65,su,X,0
456,66,mo,9h-18h,1
457,66,tu,9h-18h,1
458,66,we,9h-18h,1
459,66,th,9h-18h,1
460,66,fr,9h-18h,1
461,66,sa,9h-18h,1
462,66,su,X,0
463,67,mo,X,0
464,67,tu,11h-16h,1
465,67,we,11h-16h,1
466,67,th,11h-16h,1
467,67,fr,11h-16h,1
468,67,sa,X,0
469,67,su,X,0
470,68,mo,X,0
471,68,tu,10h-18.30h,1
472,68,we,10h-18.30h,1
473,68,th,10h-18.30h,1
474,68,fr,10h-18.30h,1
475,68,sa,10h-18h,1
476,68,su,X,0
477,69,mo,8h-16h,1
478,69,tu,8h-16h,1
479,69,we,8h-16h,1
480,69,th,8h-16h,1
481,69,fr,8h-16h,1
482,69,sa,X,0
483,69,su,X,0
484,70,mo,X,0
485,70,tu,X,0
486,70,we,10h-18h,1
487,70,th,10h-18h,1
488,70,fr,10h-18h,1
489,70,sa,10h-18h,1
490,70,su,10h-18h,1
491,71,mo,7h-18h,1
492,71,tu,7h-18h,1
493,71,we,7h-18h,1
494,71,th,7h-18h,1
495,71,fr,7h-18h,1
496,71,sa,9h-18h,1
497,71,su,9h-18h,1
498,72,mo,X,0
499,72,tu,12h-14h;18h-23h,1
500,72,we,12h-14h;18h-23h,1
501,72,th,12h-14h;18h-23h,1
502,72,fr,12h-14h;18h-23h,1
503,72,sa,12h-14h;18h-23h,1
504,72,su,X,0
505,73,mo,9h-19h,1
506,73,tu,9h-19h,1
507,73,we,9h-19h,1
508,73,th,9h-19h,1
509,73,fr,9h-19h,1
510,73,sa,X,0
511,73,su,X,0
512,74,mo,X,0
513,74,tu,10h-16h,1
514,74,we,10h-16h,1
515,74,th,10h-16h,1
516,74,fr,10h-16h,1
517,74,sa,10h-16h,1
518,74,su,10h-16h,1
